#time           flux       flux_err
  272.341883875   -23.23805     1.18094 
  272.362316663   -21.37649     1.18124 
  272.382749351   -22.55554     1.18086 
  272.403182238   -19.76858     1.18140 
  272.423615026   -23.91486     1.18124 
  272.444047713   -23.91335     1.18084 
  272.464480600   -23.36532     1.18076 
  272.484913387   -24.28422     1.18073 
  272.505346073   -24.20160     1.18053 
  272.525778860   -25.81369     1.18021 
  272.546211746   -26.29360     1.18034 
  272.566644432   -26.17033     1.18040 
  272.587077218   -26.88975     1.18002 
  272.607510103   -26.17202     1.18028 
  272.627942888   -20.50410     1.18110 
  272.648375573   -29.62930     1.17964 
  272.668808358   -26.97326     1.18043 
  272.689241243   -26.45164     1.18023 
  272.709673927   -26.79663     1.18039 
  272.730106711   -25.71826     1.18096 
  272.750539495   -30.57854     1.17978 
  272.770972279   -28.60011     1.17977 
  272.791404963   -26.13627     1.18032 
  272.811837846   -26.15005     1.18037 
  272.832270629   -26.95378     1.18041 
  272.852703412   -27.08772     1.18009 
  272.873136095   -27.84067     1.17989 
  272.893568977   -29.17510     1.17991 
  272.934434441   -27.70300     1.17985 
  272.954867323   -27.26382     1.18008 
  272.975300105   -27.03258     1.18003 
  272.995732786   -25.26885     1.18031 
  273.016165567   -26.80161     1.18029 
  273.036598448   -24.64362     1.18063 
  273.057031129   -26.71881     1.18038 
  273.077463909   -23.06186     1.18098 
  273.097896789   -25.94318     1.18049 
  273.118329469   -22.62891     1.18117 
  273.138762249   -22.43396     1.18077 
  273.159195029   -21.30872     1.18112 
  273.179627908   -19.94317     1.18131 
  273.200060587   -21.71116     1.18117 
  273.220493366   -18.05146     1.18122 
  273.240926245   -19.17163     1.18158 
  273.261358923   -18.35491     1.18116 
  273.281791702   -16.47468     1.18186 
  273.302224580   -15.37033     1.18166 
  273.322657258   -12.41564     1.18256 
  273.343090035   -11.09287     1.18258 
  273.363522813    -8.99518     1.18311 
  273.404388367    -7.18289     1.18320 
  273.424821144    -3.67420     1.18369 
